Tags,links,Name,Location
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Mannarasala Sree Nagaraja Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Ambalapuzha Sree Krishna Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Sree Subramanya Swami Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,St. Andrew's Basilica Arthunkal,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Mullakkal Rajeshwari Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Sree Ganesh Temple Mullackall,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Chavara Bhavan Shrine,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Kanichukulangara Devi Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,"Jain Temple, Alleppey",Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Eruva Sreekrishna Swamy Temple,Alappuzzha
Sacred & Religious Sites,https://www.tripadvisor.in/Attractions-g608471-Activities-c47-t10-Alappuzha_Alappuzha_District_Kerala.html,Kurattikkadu Mutharamman Devi Temple,Alappuzzha
