Hotel Names,Price,Rating,Amenities,Info,Attractions,Address,City
Lake Canopy,"6,528",5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastCanoeingGame roomBabysittingSecured parkingFree internetWifiInternetPool / beach towelsInfinity poolIndoor poolOutdoor poolRestaurantBreakfast buffetBilliardsFishingTable tennisChildren Activities (Kid / Family Friendly)Airport transportationBusiness Centre with Internet AccessBanquet roomMeeting roomsFax / photocopyingSpaMassage24-hour securityBaggage storageConciergeGift shopNewspaperShared lounge / TV areaSun terrace24-hour front deskExpress check-in / check-outDry cleaningLaundry serviceIroning service,"Lake Canopy strategically located in Punnamada, Alappuzha, is the ideal destination for all types of commuters. It maintains exclusive 28 cottages/rooms with back water view and ensures hospitality with utmost care, comfort and luxury. The same has been categorized into 3 cottages with private swimming pool, 5 cottages with Jacuzzi and 20 premium rooms.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","Aspinwall Road Komalapuram, North Aaryad P.O, Alappuzha 688538 India",Alappuzha
Lake Palace Resort,,4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastFishingChildren Activities (Kid / Family Friendly)Airport transportationValet parkingParkingFree internetPublic wifiInternetPool with viewOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting roomsSpaMassageSteam room24-hour securityBaggage storageConciergeCurrency exchangeShopsButler service24-hour front deskDry cleaningLaundry serviceIroning service,"Lake Palace is a Five star luxury backwater resort located in Alleppey at the banks of Vembanadu Lake, adjacent to the venue of the legendary Nehru Trophy boat race. Lake Palace Resort represents a quaint tradition, blended with modernity. Its architecture is delightfully Keralite yet comfortably modern and rich in contemporary ethos. Each of its rooms is individually decorated with a dramatic blend of old-world charm and modern accessories. While the Lake View Cottages feature a cozy lounge with mini bar, refrigerator, television, king size bedroom, en-suite bathroom with hot & cold running water and 24 hours room service, the Water Villas offer the rare feeling of being afloat. Its facilities include king size bedrooms that are beautifully appointed rooms with wooden furniture, en-suite bathrooms and 24 hours room service. Every balcony at Lake View Cottage offers a unassailable view of the unruffled Vembanadu Lake where the traditional country boats & canoes cruise gently along.","('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","Thirumala Ward,Alleppey Chungam, Alappuzha 688011 India",Alappuzha
Uday Backwater Resort,"8,990",5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastBicycle rentalChildren Activities (Kid / Family Friendly)Airport transportationElectric vehicle charging stationParkingFree internetWifiInternetSaunaHot bathIndoor poolOutdoor poolBar / loungeRestaurantShuttle bus serviceCar hireBusiness Centre with Internet AccessMeeting roomsSpa24-hour securityBaggage storageCurrency exchangeDry cleaningLaundry service,"Uday backwater Resort in Alleppy is a destination by itself with 56 stylish rooms and 9 pool villas, Spas, Restaurants, Houseboats and Country boat trips turning your vacation exciting mesmerizing . The resort got all comforts, with dedicated service personnel and elegant furnishings aesthetically combining traditional charm with modern facilities.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","1x /2A - Avalookunnu .P.O,Punnamada Near punnamada Jetty, Alappuzha 688006 India",Alappuzha
Warmth Lake Haven,"4,367",4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBadmintonBicycle rentalKids stay freeBabysittingValet parkingCar parkSecured parkingParkingFree internetWifiPublic wifiFree wifi in the business centreFree wired internet in the business centreInternetHot bathPool / beach towelsSwimming pool toysAdult poolOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBreakfast in the roomComplimentary instant cofffeeComplimentary teaComplimentary welcome drinkKid-friendly buffetKids' mealsOutdoor dining areaBicycles availableBoatingDartsFishingKaraokeBoard games / puzzlesChildren's playgroundChildren's television networksChildren Activities (Kid / Family Friendly)Highchairs availableAirport transportationFax / photocopyingPhoto copier / fax In business centreSpaFacial treatmentsFoot bathFoot massageFull body massageHand massageHead massageManicureNeck massagePedicureSteam room24-hour securityBBQ facilitiesBaggage storageConciergeCurrency exchangeGift shopNewspaperNon-smoking hotelOutdoor fireplaceOutdoor furnitureFirst aid kitUmbrella24-hour check-in24-hour front deskExpress check-in / check-outPrivate check-in / check-outDry cleaningLaundry serviceIroning serviceShoeshine,"Warmth Lake Haven, a solitary island situated midst of vast botanical treasures with vibrant variety of birds, lush verdant paddy fields, swaying coconut palms, rippling waterscapes and scenic backwaters opening to Arabian Sea and Vembanad Lake. The resort has 3 acres of greenish landscapes, emerald paddy fields fenced with lake and backwaters. Lake Haven creates incredible memories to share for a life time and its alluring elegance will capture vacationers.","('Ambalapuzha Sree Krishna Temple', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse', 'Alappuzha Beach')","Near Pulikkakaavu Temple Chempumpuram, Alappuzha 688505 India",Alappuzha
Ramada by Wyndham Alleppey,"3,238",4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Taxi serviceBusiness Centre with Internet AccessParkingFree internetWifiPublic wifiInternetLazy riverOutdoor poolBar / loungeRestaurantBreakfast availableBreakfast buffetRooftop barConference facilitiesBanquet roomMeeting roomsSpa24-hour securityBaggage storageConciergeNon-smoking hotelDoorpersonDry cleaningLaundry service,A picturesque 5 Star Classified Resort Hotel at Alleppey ( The Venice of the East ) overlooking the backwaters of the Punnamada Lake. 85 kilometres from Cochin International Airport which is about a 2 hour drive.,,"Nehru Trophy Finishing Point Punnamada, Alappuzha 688001 India",Alappuzha
Oxygen Resorts Alleppey,"3,480",5.0,Free parkingFree internetFitness Centre with Gym / Workout RoomPoolRestaurantChildren Activities (Kid / Family Friendly)Kids clubAirport transportationInternetIndoor poolOutdoor poolBreakfast buffetCar hireBusiness Centre with Internet AccessBanquet roomMeeting roomsSpa24-hour securityConciergeDry cleaningLaundry service,"Oxygen Resorts Allepey is set amidst the tropical greenery along the banks of Rajiv Jetty, overlooking the Kerala Backwaters. The resort is built in resemblance to a Rajasthani palace, and is unmatched in its grandeur and style. Situated less than 1 km from the famed Nehru Trophy Finishing Point, the resort is major attraction for travel enthusiasts. Oxygen Resorts Allepey holds the aura of being untainted; within the broad hallways of the resort, one can experience serenity. Living up-to the expectations of its architectural resemblance to a palace, the resort is uncompromising in its magnificence with 81 rooms spread across five floors. Customers can take full advantage of features like full-service spa, balconies with view of the city/garden, parking area within premises, conference rooms, and outdoor pool. The resort has deluxe rooms, superior rooms, and suite rooms.",,"Boat Jetty Road Finishing Point, Alappuzha 688013 India",Alappuzha
Kalappura Homestay,999,5.0,Free parkingFree High Speed Internet (WiFi)Free internetWifiInternetBaggage storageLaundry service,Kalappura homestay is situated in a peaceful & silent locality in Alleppey Town which is 200m away from the canal side. Also the Homestay is around 5 mins walk from KSRTC bus station and the ferry/boating area and 5 mins walk to the busy city center & market as well. Ours is a wonderful homestay with all the facilities what you get in your house.Its a Home away from Home.,,"Kalappurackal House Mullackal Road 1 km east of Mullackal junction, Alappuzha 688011 India",Alappuzha
Punnamada Resort,"8,346",4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBicycle rentalCanoeingChildren Activities (Kid / Family Friendly)Airport transportationParkingFree internetWifiInternetPool / beach towelsPool with viewOutdoor poolBar / loungeCoffee shopRestaurantBreakfast buffetGame roomBilliardsFishingTable tennisCar hireMeeting roomsSpaMassageBaggage storageConciergeGift shopNewspaperNon-smoking hotelShops24-hour front deskDry cleaningLaundry serviceIroning service,"Punnamada Resorts is nestled on the serene banks of Vembanad Lake and gives a world of heritage and luxury. The divine ambiance and the hospitality lead to a total relaxation of mind, body and soul and it highlighted the rich heritage and the essence of Kerala in its true form with a focus on the eco system and being an environment friendly resort by taking initiative in various fronts. The green leaf certified Ayurveda centre at Punnamada puts a new life into yourself and to regain vigor and vitality and lead a stress-free life. The essence of Kerala and its magical backwaters can be experienced aboard Punnamada’s exclusive 'Kettuvallam' (houseboats) by the resort, the houseboats of Punnamada equipped with the best of luxuries.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Revi Karunakaran Museum')","Alleppey 6 Punnamada Resort Private Limited, Alappuzha 688006 India",Alappuzha
Treebo Tryst Palmyra Grand Suite,"1,766",4.0,Free parkingFree High Speed Internet (WiFi)SaunaFree breakfastBicycle rentalBabysittingChildren Activities (Kid / Family Friendly)Business Centre with Internet AccessFree internetWifiInternetRestaurantBreakfast availableBreakfast buffetMeeting roomsBaggage storageCurrency exchangeNon-smoking hotelDry cleaningLaundry serviceIroning service,"Treebo Palmyra Grand Suite is a premier business hotel near Old Medical College in Alleppey, Kerala. The hotel’s remarkable exterior and tastefully done interiors, have you in the bag, right from the entrance of the hotel. Treebo Palmyra Grand Suite is within 4 km of the popular Alappuzha beach, Alleppey Boat House and Punnamada Kayal Backwaters. The hotel offers an array of modern amenities like free Wi-Fi, complimentary breakfast, room service, the capacity to host business events, an in-house restaurant- Rice Bowl, wheelchair facility, and free parking space. Alleppey or Alappuzha, the Venice of East is visited by tourists for its rustic backwaters, houseboat rides and beaches nearby. With an on-site travel desk that offers various tour packages, you can experience the best parts of Alleppey conveniently. All the rooms at the property are spacious, air-conditioned and well-appointed. The in-room amenities include a tea/coffee maker, a coffee table, an LCD television with cable/ DTH connection and more. The clean and hygienic bathroom is provided with water heating facility and free Treebo toiletries. The nearest airport is in Kochi, a three-hour drive from the hotel. The Alappuzha Railway Station and the Alappuzha KSRTC Bus Station are within fifteen minutes of Treebo Palmyra Grand Suite. Rice Bowl, the hotel’s in-house restaurant offers many inviting vegetarian & non-vegetarian dishes. You can get food ordered to your doorstep or step out and try meals at Halais, Aramana, KFC and more, within 2 km of the hotel. For quick medical attention, Alappuzha General Hospital, 400 meters away is the place to head over",,"Old Medical College Junction Opp. Tirumala Devaswom Higher Secondary School, Alappuzha 688011 India",Alappuzha
Cosy Houseboats,"5,451",4.5,Secured parkingPublic wifiFree breakfastBicycle rentalCanoeingMassageCurrency exchangeOutdoor furnitureRestaurantBreakfast availableBreakfast in the roomFishing24-hour front deskExpress check-in / check-outPrivate check-in / check-out,"Traditionally, the houseboat was called Kettuvallam, which means a boat made by tying together pieces of wood. Unbelievable as it may sound, not a single nail is used in the making of a Kettuvallam. Anjili tree (Botanical name: Artocarpus Hirsutus) are joined together with coir rope and then coated with black resin made from boiled cashew nut shells. The materials that go into the making are all local and Eco friendly bamboo poles, coconut fiber ropes, bamboo mats, coir carpets etc These traditional country boats were used as the mode of transport in the early times from the isolated interior villages to the towns. But these boat services have been laid off with the developments taken place in the transport services in the recent past. Today these giant 80-foot long crafts have been adapted into luxuriously furnished houseboats. A Kettuvallam usually has one or two bath attached rooms, an open lounge, deck, kitchenette and a crew comprising two oarsmen and a cook. Traditional lanterns are used as lights. Your holiday in this tranquil world is the comfortably furnished houseboats. Come, check into a houseboat for a memorable cruise along the backwaters of Kerala",,"Finishing point Cosy Regency, Finishing Point, Alappuzha 688013 India",Alappuzha
Kondai Lip Backwater Heritage Resort,"5,005",4.5,Free parkingFree internetPool with viewFree breakfastBadmintonBicycle rentalAirport transportationSpaPublic wifiInternetRestaurantBreakfast availableBreakfast buffetFishingWalking toursTaxi serviceBaggage storageConciergeCurrency exchange24-hour check-in24-hour front deskLaundry service,"Turn off the highway to Alleppey, onto a narrower road that winds its way through sleepy hamlets, going past prawn and shrimp farms and submerged fields of paddy. You gradually begin to feel the overwhelming presence of water. At times in the course of the journey it seems that for an instant one has dropped below the waterline. ""Kondai Lip"" Set amidst palms and lush tropical vegetation, traditional air conditioned cottages with canal facing sit outs, built with laterite and wood, elegantly furnished and equipped with all modern amenities. Just 55 km from Cochin International Airport and 18 kms towards Fort Cochin.Having its own Ayur health care Centre with Green Leaf accreditation.",,"Karumanchery Holiday Resorts Pvt Ltd Ezhupunna South PO, Alappuzha 688537 India",Alappuzha
Alleppey Beach Garden,"4,704",5.0,Free High Speed Internet (WiFi)Free breakfastBeachCanoeing offsiteChildren Activities (Kid / Family Friendly)Car hireFax / photocopyingBaggage storageFree internetWifiPublic wifiInternetBar / loungeBoard games / puzzlesCurrency exchangeNewspaperOutdoor furnitureSun loungers / beach chairsSun terraceSun umbrellasPrivate check-in / check-outDry cleaning,This place is situated in a quiet beach near Alleppey Beach surrounded with garden view and beach front.,"('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","34/1001A, Esi Ward, Alappuzha 688002 India",Alappuzha
