Hotel Names,Price,Rating,Amenities,Info,Attractions,Address,City,Latitude,Longitude
Lake Palace Resort,$ 82,4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastFishingChildren Activities (Kid / Family Friendly)Airport transportationValet parkingParkingFree internetPublic wifiInternetPool with viewOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting roomsSpaMassageSteam room24-hour securityBaggage storageConciergeCurrency exchangeShopsButler service24-hour front deskDry cleaningLaundry serviceIroning service,"Lake Palace is a Five star luxury backwater resort located in Alleppey at the banks of Vembanadu Lake, adjacent to the venue of the legendary Nehru Trophy boat race. Lake Palace Resort represents a quaint tradition, blended with modernity. Its architecture is delightfully Keralite yet comfortably modern and rich in contemporary ethos. Each of its rooms is individually decorated with a dramatic blend of old-world charm and modern accessories. While the Lake View Cottages feature a cozy lounge with mini bar, refrigerator, television, king size bedroom, en-suite bathroom with hot & cold running water and 24 hours room service, the Water Villas offer the rare feeling of being afloat. Its facilities include king size bedrooms that are beautifully appointed rooms with wooden furniture, en-suite bathrooms and 24 hours room service. Every balcony at Lake View Cottage offers a unassailable view of the unruffled Vembanadu Lake where the traditional country boats & canoes cruise gently along.","('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","Thirumala Ward,Alleppey Chungam, Alappuzha 688011 India",Alappuzha,9.4939861,76.3489864
Uday Backwater Resort,$ 62,4.5,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastBicycle rentalChildren Activities (Kid / Family Friendly)Airport transportationElectric vehicle charging stationParkingFree internetWifiInternetSaunaHot bathIndoor poolOutdoor poolBar / loungeRestaurantShuttle bus serviceCar hireBusiness Centre with Internet AccessMeeting roomsSpa24-hour securityBaggage storageCurrency exchangeDry cleaningLaundry service,"Uday backwater Resort in Alleppy is a destination by itself with 56 stylish rooms and 9 pool villas, Spas, Restaurants, Houseboats and Country boat trips turning your vacation exciting mesmerizing . The resort got all comforts, with dedicated service personnel and elegant furnishings aesthetically combining traditional charm with modern facilities.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","1x /2A - Avalookunnu .P.O,Punnamada Near punnamada Jetty, Alappuzha 688006 India",Alappuzha,9.501296400000001,76.35470314863991
Ramada by Wyndham Alleppey,$ 68,4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Taxi serviceBusiness Centre with Internet AccessParkingFree internetWifiPublic wifiInternetLazy riverOutdoor poolBar / loungeRestaurantBreakfast availableBreakfast buffetRooftop barConference facilitiesBanquet roomMeeting roomsSpa24-hour securityBaggage storageConciergeNon-smoking hotelDoorpersonDry cleaningLaundry service,A picturesque 5 Star Classified Resort Hotel at Alleppey ( The Venice of the East ) overlooking the backwaters of the Punnamada Lake. 85 kilometres from Cochin International Airport which is about a 2 hour drive.,,"Nehru Trophy Finishing Point Punnamada, Alappuzha 688001 India",Alappuzha,9.5060306,76.3479008
Kalappura Homestay,$ 12,5.0,Free parkingFree High Speed Internet (WiFi)Free internetWifiInternetBaggage storageLaundry service,Kalappura homestay is situated in a peaceful & silent locality in Alleppey Town which is 200m away from the canal side. Also the Homestay is around 5 mins walk from KSRTC bus station and the ferry/boating area and 5 mins walk to the busy city center & market as well. Ours is a wonderful homestay with all the facilities what you get in your house.Its a Home away from Home.,,"Kalappurackal House Mullackal Road 1 km east of Mullackal junction, Alappuzha 688011 India",Alappuzha,9.4982114,76.3444399
Oxygen Resorts Alleppey,$ 49,5.0,Free parkingFree internetFitness Centre with Gym / Workout RoomPoolRestaurantChildren Activities (Kid / Family Friendly)Kids clubAirport transportationInternetIndoor poolOutdoor poolBreakfast buffetCar hireBusiness Centre with Internet AccessBanquet roomMeeting roomsSpa24-hour securityConciergeDry cleaningLaundry service,"Oxygen Resorts Allepey is set amidst the tropical greenery along the banks of Rajiv Jetty, overlooking the Kerala Backwaters. The resort is built in resemblance to a Rajasthani palace, and is unmatched in its grandeur and style. Situated less than 1 km from the famed Nehru Trophy Finishing Point, the resort is major attraction for travel enthusiasts. Oxygen Resorts Allepey holds the aura of being untainted; within the broad hallways of the resort, one can experience serenity. Living up-to the expectations of its architectural resemblance to a palace, the resort is uncompromising in its magnificence with 81 rooms spread across five floors. Customers can take full advantage of features like full-service spa, balconies with view of the city/garden, parking area within premises, conference rooms, and outdoor pool. The resort has deluxe rooms, superior rooms, and suite rooms.",,"Boat Jetty Road Finishing Point, Alappuzha 688013 India",Alappuzha,9.5015171,76.3516997
Treebo Tryst Palmyra Grand Suite,$ 24,4.5,Free parkingFree High Speed Internet (WiFi)SaunaFree breakfastBicycle rentalBabysittingChildren Activities (Kid / Family Friendly)Business Centre with Internet AccessFree internetWifiInternetRestaurantBreakfast availableBreakfast buffetMeeting roomsBaggage storageCurrency exchangeNon-smoking hotelDry cleaningLaundry serviceIroning service,"Treebo Palmyra Grand Suite is a premier business hotel in Alleppey, Kerala. The hotel’s remarkable exterior and tastefully done interiors, have you in the bag, right from the entrance of the hotel. The hotel offers an array of modern amenities like free Wi-Fi, complimentary breakfast, room service, the capacity to host business events, an in-house restaurant- Rice Bowl, wheelchair facility, and free parking space. Alleppey, the Venice of East is visited by tourists for its rustic backwaters, houseboat rides and beaches nearby. With an on-site travel desk that offers various tour packages, you can experience the best parts of Alleppey conveniently.",,"Old Medical College Junction Opp. Tirumala Devaswom Higher Secondary School, Alappuzha 688011 India",Alappuzha,9.4891437,76.3387369
Abad Turtle Beach,$ 89,4.5,Free parkingFree High Speed Internet (WiFi)SaunaPoolFree breakfastBeachBicycle rentalAirport transportationFree internetWifiInternetPool / beach towelsOutdoor poolRestaurantBreakfast buffetTaxi serviceMeeting roomsSpaFacial treatmentsFoot massageFull body massageHead massageMassage24-hour securityConciergeCurrency exchangeSun umbrellasDry cleaningLaundry serviceIroning service,"Spread across an area of 13 acres of land, Turtle Beach Resort is ideally located at Mararikulam, a fishing village about 30 kms from Kochi. The resort overlooks the white sandy Marari Beach and has a rivulet flowing on one side. Stretching across the expansive area are 16 cottages comprising 29 beach cottages and villa. Facilities: The rooms are spacious, air-conditioned with en-suite toilets and individual patios. Room are equipped with TV, telephone, fridge, tea/coffee maker and individual safe deposit locker, Ayurveda centre, doctor on call, currency exchange, credit card accepted, travel arrangements.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","Mararikulam, Alappuzha 688567 India",Alappuzha,9.4980001,76.333482
Lake Palace Resort,$ 82,4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastFishingChildren Activities (Kid / Family Friendly)Airport transportationValet parkingParkingFree internetPublic wifiInternetPool with viewOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBusiness Centre with Internet AccessConference facilitiesBanquet roomMeeting roomsSpaMassageSteam room24-hour securityBaggage storageConciergeCurrency exchangeShopsButler service24-hour front deskDry cleaningLaundry serviceIroning service,"Lake Palace is a Five star luxury backwater resort located in Alleppey at the banks of Vembanadu Lake, adjacent to the venue of the legendary Nehru Trophy boat race. Lake Palace Resort represents a quaint tradition, blended with modernity. Its architecture is delightfully Keralite yet comfortably modern and rich in contemporary ethos. Each of its rooms is individually decorated with a dramatic blend of old-world charm and modern accessories. While the Lake View Cottages feature a cozy lounge with mini bar, refrigerator, television, king size bedroom, en-suite bathroom with hot & cold running water and 24 hours room service, the Water Villas offer the rare feeling of being afloat. Its facilities include king size bedrooms that are beautifully appointed rooms with wooden furniture, en-suite bathrooms and 24 hours room service. Every balcony at Lake View Cottage offers a unassailable view of the unruffled Vembanadu Lake where the traditional country boats & canoes cruise gently along.","('Kerala Backwaters', 'Alleppey Backwaters', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse')","Thirumala Ward,Alleppey Chungam, Alappuzha 688011 India",Alappuzha,9.4939861,76.3489864
Uday Backwater Resort,$ 62,4.5,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastBicycle rentalChildren Activities (Kid / Family Friendly)Airport transportationElectric vehicle charging stationParkingFree internetWifiInternetSaunaHot bathIndoor poolOutdoor poolBar / loungeRestaurantShuttle bus serviceCar hireBusiness Centre with Internet AccessMeeting roomsSpa24-hour securityBaggage storageCurrency exchangeDry cleaningLaundry service,"Uday backwater Resort in Alleppy is a destination by itself with 56 stylish rooms and 9 pool villas, Spas, Restaurants, Houseboats and Country boat trips turning your vacation exciting mesmerizing . The resort got all comforts, with dedicated service personnel and elegant furnishings aesthetically combining traditional charm with modern facilities.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","1x /2A - Avalookunnu .P.O,Punnamada Near punnamada Jetty, Alappuzha 688006 India",Alappuzha,9.501296400000001,76.35470314863991
Ramada by Wyndham Alleppey,$ 68,4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Taxi serviceBusiness Centre with Internet AccessParkingFree internetWifiPublic wifiInternetLazy riverOutdoor poolBar / loungeRestaurantBreakfast availableBreakfast buffetRooftop barConference facilitiesBanquet roomMeeting roomsSpa24-hour securityBaggage storageConciergeNon-smoking hotelDoorpersonDry cleaningLaundry service,A picturesque 5 Star Classified Resort Hotel at Alleppey ( The Venice of the East ) overlooking the backwaters of the Punnamada Lake. 85 kilometres from Cochin International Airport which is about a 2 hour drive.,,"Nehru Trophy Finishing Point Punnamada, Alappuzha 688001 India",Alappuzha,9.5060306,76.3479008
