User Name,Profile link,Rating,Hotel Name
SGP,https://www.tripadvisor.in/Profile/SGP32D,5,Lake Canopy
Mattbor86,https://www.tripadvisor.in/Profile/Mattbor86,5,Lake Canopy
Montrosa,https://www.tripadvisor.in/Profile/Montrosa,3,Lake Canopy
Amit Pednekar,https://www.tripadvisor.in/Profile/amitpednekar,4,Lake Canopy
Amittraveler,https://www.tripadvisor.in/Profile/Amittraveler,4,Lake Canopy
PravDelhi,https://www.tripadvisor.in/Profile/PravDelhi,4,Lake Palace Resort
Suresh R,https://www.tripadvisor.in/Profile/38sureshr,5,Lake Palace Resort
Sunil P,https://www.tripadvisor.in/Profile/SunilP89,5,Lake Palace Resort
Raunak anand,https://www.tripadvisor.in/Profile/raunak_anand,2,Lake Palace Resort
Sunil V,https://www.tripadvisor.in/Profile/Infra_mumbai,5,Lake Palace Resort
ahmedalsaad2020,https://www.tripadvisor.in/Profile/ahmedalsaad2020,5,Warmth Lake Haven
shwetakr0527,https://www.tripadvisor.in/Profile/shwetakr0527,5,Warmth Lake Haven
Shital S,https://www.tripadvisor.in/Profile/291shitals,5,Warmth Lake Haven
Matthew B,https://www.tripadvisor.in/Profile/matthewbD6884FQ,4,Warmth Lake Haven
Berly,https://www.tripadvisor.in/Profile/Berlyassocial,5,Warmth Lake Haven
Skm239,https://www.tripadvisor.in/Profile/Skm239,5,Uday Backwater Resort
Prema M,https://www.tripadvisor.in/Profile/premam2020,4,Uday Backwater Resort
LumberEaton_Cheshire,https://www.tripadvisor.in/Profile/LumberEaton_Cheshire,4,Uday Backwater Resort
lucy b,https://www.tripadvisor.in/Profile/lucybI3305BM,4,Uday Backwater Resort
OnAir37387226315,https://www.tripadvisor.in/Profile/OnAir37387226315,5,Uday Backwater Resort
Manoj B,https://www.tripadvisor.in/Profile/427manojb,1,Ramada by Wyndham Alleppey
KARANKAJU14,https://www.tripadvisor.in/Profile/KARANKAJU14,3,Ramada by Wyndham Alleppey
