User Name,Profile link,Rating,Hotel Name
Rachna,https://www.tripadvisor.in/Profile/Rachneer,3,Lake Canopy
Amey Naik,https://www.tripadvisor.in/Profile/AmeyNaik123,5,Lake Canopy
IanGBradford,https://www.tripadvisor.in/Profile/IanGBradford,5,Lake Canopy
lccarey2018,https://www.tripadvisor.in/Profile/lccarey2018,5,Lake Canopy
Aamir R,https://www.tripadvisor.in/Profile/267aamirr,5,Lake Canopy
Kajalashu,https://www.tripadvisor.in/Profile/Kajalashu,5,Lake Palace Resort
_rarebird,https://www.tripadvisor.in/Profile/rarebird_1,5,Lake Palace Resort
maxsanjay,https://www.tripadvisor.in/Profile/sanjumax,5,Lake Palace Resort
Sagar Jadhav,https://www.tripadvisor.in/Profile/Sightsee394244,2,Lake Palace Resort
hipiyush007,https://www.tripadvisor.in/Profile/hipiyush007,5,Lake Palace Resort
Rajesh Sood,https://www.tripadvisor.in/Profile/RajeshCheeku,4,Uday Backwater Resort
Shikha Shah,https://www.tripadvisor.in/Profile/shikha153,5,Uday Backwater Resort
vimsom1Atravel,https://www.tripadvisor.in/Profile/vimsom1Atravel,5,Uday Backwater Resort
Manoj T,https://www.tripadvisor.in/Profile/753manojt,5,Uday Backwater Resort
Natalie,https://www.tripadvisor.in/Profile/nsb61,2,Uday Backwater Resort
Priya Dutt,https://www.tripadvisor.in/Profile/Pdutt12,3,Warmth Lake Haven
Sooraj S,https://www.tripadvisor.in/Profile/soorajs128,5,Warmth Lake Haven
Dianne,https://www.tripadvisor.in/Profile/Freyja63,5,Warmth Lake Haven
sk415408,https://www.tripadvisor.in/Profile/sk415408,1,Warmth Lake Haven
LijinAL,https://www.tripadvisor.in/Profile/LijinAL,1,Warmth Lake Haven
Sanjay R Iyer,https://www.tripadvisor.in/Profile/rsanjayiyer,2,Ramada by Wyndham Alleppey
Rajinikanth,https://www.tripadvisor.in/Profile/Rajini4646,5,Ramada by Wyndham Alleppey
Apoorva,https://www.tripadvisor.in/Profile/apoorvaSanand,1,Ramada by Wyndham Alleppey
sebyvarghese2020,https://www.tripadvisor.in/Profile/sebyvarghese2020,5,Ramada by Wyndham Alleppey
George,https://www.tripadvisor.in/Profile/daysinnmarketcenter,5,Ramada by Wyndham Alleppey
Jagdish,https://www.tripadvisor.in/Profile/Jaggu964,5,Oxygen Resorts Alleppey
AshaG1991,https://www.tripadvisor.in/Profile/natureloveerr,5,Oxygen Resorts Alleppey
Nisha,https://www.tripadvisor.in/Profile/1569911111111111,5,Oxygen Resorts Alleppey
Savy,https://www.tripadvisor.in/Profile/0000756567785577,5,Oxygen Resorts Alleppey
Ananthu Gopinath,https://www.tripadvisor.in/Profile/Ananthu_6055,5,Oxygen Resorts Alleppey
Imke H,https://www.tripadvisor.in/Profile/324imkeh,5,Kalappura Homestay
ShedCake,https://www.tripadvisor.in/Profile/ShedCake,5,Kalappura Homestay
Roger K,https://www.tripadvisor.in/Profile/rogerk979,5,Kalappura Homestay
_deecronin1,https://www.tripadvisor.in/Profile/_deecronin1,5,Kalappura Homestay
Samantha L,https://www.tripadvisor.in/Profile/SamanthaL608,5,Kalappura Homestay
S2VM_11,https://www.tripadvisor.in/Profile/S2VM_11,5,Punnamada Resort
Archie1971,https://www.tripadvisor.in/Profile/Archie1971,5,Punnamada Resort
jishnumj,https://www.tripadvisor.in/Profile/Jishnumj1997,5,Punnamada Resort
Alexis S,https://www.tripadvisor.in/Profile/alexiskss,5,Punnamada Resort
jimchacko,https://www.tripadvisor.in/Profile/jimchacko,4,Punnamada Resort
Virendra1979,https://www.tripadvisor.in/Profile/Virendra1979,5,Treebo Tryst Palmyra Grand Suite
Devendra,https://www.tripadvisor.in/Profile/Devpandey1984,4,Treebo Tryst Palmyra Grand Suite
K R S,https://www.tripadvisor.in/Profile/914krs,5,Treebo Tryst Palmyra Grand Suite
vivin_balakrishnan,https://www.tripadvisor.in/Profile/vivin_balakrishnan,5,Treebo Tryst Palmyra Grand Suite
RohitSpikes,https://www.tripadvisor.in/Profile/RohitSpikes,5,Treebo Tryst Palmyra Grand Suite
Aditya Rai,https://www.tripadvisor.in/Profile/Family_travel4567,1,Cosy Houseboats
Mukesh A,https://www.tripadvisor.in/Profile/MukeshA221,3,Cosy Houseboats
Bhawna J,https://www.tripadvisor.in/Profile/528bhawnaj,3,Cosy Houseboats
hbsc14,https://www.tripadvisor.in/Profile/hbsc14,5,Cosy Houseboats
Preeti Nath,https://www.tripadvisor.in/Profile/MunPre,5,Cosy Houseboats
Niranjan B,https://www.tripadvisor.in/Profile/492niranjanb,5,Kondai Lip Backwater Heritage Resort
Chintan Shah,https://www.tripadvisor.in/Profile/chintanps4,4,Kondai Lip Backwater Heritage Resort
Rachna,https://www.tripadvisor.in/Profile/Rachneer,5,Kondai Lip Backwater Heritage Resort
Jaymallya Banerjee,https://www.tripadvisor.in/Profile/JaymallyaBanerjee,4,Kondai Lip Backwater Heritage Resort
Minnu Tharun,https://www.tripadvisor.in/Profile/minnu_tharun,5,Kondai Lip Backwater Heritage Resort
Miraingemann,https://www.tripadvisor.in/Profile/Miraingemann,5,Alleppey Beach Garden
Adam M,https://www.tripadvisor.in/Profile/I6792LRadamm,5,Alleppey Beach Garden
Fred Smallfield,https://www.tripadvisor.in/Profile/367fr_d_ricp,5,Alleppey Beach Garden
Lorraine R,https://www.tripadvisor.in/Profile/LorraineR624,5,Alleppey Beach Garden
monicker,https://www.tripadvisor.in/Profile/monicker,5,Alleppey Beach Garden
shaun,https://www.tripadvisor.in/Profile/shaungreennew,4,Abad Turtle Beach
Saffron S,https://www.tripadvisor.in/Profile/SaffronS109,5,Abad Turtle Beach
ScatsFamily,https://www.tripadvisor.in/Profile/ScatsFamily,5,Abad Turtle Beach
Jose Luis L,https://www.tripadvisor.in/Profile/joseluisl703,4,Abad Turtle Beach
GilbertManse1906,https://www.tripadvisor.in/Profile/GilbertManse1906,5,Abad Turtle Beach
Usha1952,https://www.tripadvisor.in/Profile/Usha1952,5,Venice Castle
Helli123,https://www.tripadvisor.in/Profile/Helli123,5,Venice Castle
Sam,https://www.tripadvisor.in/Profile/SammyD1307,5,Venice Castle
Pharmindus,https://www.tripadvisor.in/Profile/Pharmindus,4,Venice Castle
GlobalStu,https://www.tripadvisor.in/Profile/GlobalStu,5,Venice Castle
mannaf,https://www.tripadvisor.in/Profile/abdulmanaf095,5,Malayalam Lake Resort Homestay
Natasha_in_INDIA🙏,https://www.tripadvisor.in/Profile/FrequentFlier709151,5,Malayalam Lake Resort Homestay
Leslie G,https://www.tripadvisor.in/Profile/LeslieNaomi,5,Malayalam Lake Resort Homestay
Culture828220,https://www.tripadvisor.in/Profile/Culture828220,5,Malayalam Lake Resort Homestay
Anu Anupama,https://www.tripadvisor.in/Profile/Anuzanupa,5,Malayalam Lake Resort Homestay
Amisha C,https://www.tripadvisor.in/Profile/amishac2016,3,Cyrus Resorts by Tolins Hotels & Resorts
nabeelusman,https://www.tripadvisor.in/Profile/nabeelusman,4,Cyrus Resorts by Tolins Hotels & Resorts
vikas Sadhotra,https://www.tripadvisor.in/Profile/Vikassadhotra,3,Cyrus Resorts by Tolins Hotels & Resorts
Syed Mahfujul Alam,https://www.tripadvisor.in/Profile/syedmahfujul,5,Cyrus Resorts by Tolins Hotels & Resorts
Davis-cochin,https://www.tripadvisor.in/Profile/Davis-cochin,1,Cyrus Resorts by Tolins Hotels & Resorts
PrashantS2906,https://www.tripadvisor.in/Profile/PrashantS2906,2,Lake Castle Alleppey Villa
Sachin Angre,https://www.tripadvisor.in/Profile/sachinangre,5,Lake Castle Alleppey Villa
Debu,https://www.tripadvisor.in/Profile/Debu-Cal,4,Lake Castle Alleppey Villa
fernanalben,https://www.tripadvisor.in/Profile/fernanalben,5,Lake Castle Alleppey Villa
Marinette,https://www.tripadvisor.in/Profile/M--arinette-lau-3,5,Lake Castle Alleppey Villa
Andreas G,https://www.tripadvisor.in/Profile/H3721VHandreasg,5,Baywatch Beach Resort
Paul B,https://www.tripadvisor.in/Profile/U7506OVpaulb,5,Baywatch Beach Resort
amarjyoti g,https://www.tripadvisor.in/Profile/ajghosh,5,Baywatch Beach Resort
Raj,https://www.tripadvisor.in/Profile/Raj12122012,5,Baywatch Beach Resort
Joydeep P,https://www.tripadvisor.in/Profile/JoydeepPal,5,Baywatch Beach Resort
David,https://www.tripadvisor.in/Profile/DavidItaly33,4,Coir Village Lake Resort
Jayesh,https://www.tripadvisor.in/Profile/J0786,5,Coir Village Lake Resort
Jesvinder S,https://www.tripadvisor.in/Profile/Jesvinder,5,Coir Village Lake Resort
jemy b,https://www.tripadvisor.in/Profile/bobjems,3,Coir Village Lake Resort
Siya Khan,https://www.tripadvisor.in/Profile/Sia_WK_haN,1,Coir Village Lake Resort
Compass34732158595,https://www.tripadvisor.in/Profile/Compass34732158595,5,The World Backwaters
Snk2020,https://www.tripadvisor.in/Profile/scarletinfernal,5,The World Backwaters
Bhaskara S,https://www.tripadvisor.in/Profile/Srinivasbhaskara,5,The World Backwaters
Rashin Rahim,https://www.tripadvisor.in/Profile/am_d_solo_soul,5,The World Backwaters
PNR,https://www.tripadvisor.in/Profile/pnishna,5,The World Backwaters
Gail G,https://www.tripadvisor.in/Profile/102gailg,4,Parakkat Nature Hotels & Resorts
Pinaki S,https://www.tripadvisor.in/Profile/PinakiS2,5,Parakkat Nature Hotels & Resorts
SHIHAB JR,https://www.tripadvisor.in/Profile/SHIHABJR,5,Parakkat Nature Hotels & Resorts
Min,https://www.tripadvisor.in/Profile/Minka22wer,5,Parakkat Nature Hotels & Resorts
Sagar Jadhav,https://www.tripadvisor.in/Profile/Sightsee394244,5,Parakkat Nature Hotels & Resorts
bricedempster25,https://www.tripadvisor.in/Profile/bricedempster25,5,Blanket Hotel & Spa
fortune2010,https://www.tripadvisor.in/Profile/fortune2010,5,Blanket Hotel & Spa
SKG109,https://www.tripadvisor.in/Profile/SKG109,5,Blanket Hotel & Spa
sjp,https://www.tripadvisor.in/Profile/sjp4040,5,Blanket Hotel & Spa
Munira Saleh,https://www.tripadvisor.in/Profile/Munirasaleh,5,Blanket Hotel & Spa
yashodhara,https://www.tripadvisor.in/Profile/yashodhara,3,Elixir Hills
TFC,https://www.tripadvisor.in/Profile/francychacko,5,Elixir Hills
SStraveller,https://www.tripadvisor.in/Profile/SStraveller1,3,Elixir Hills
Praveen Palnati,https://www.tripadvisor.in/Profile/Praveenpalnati,5,Elixir Hills
Sudip C,https://www.tripadvisor.in/Profile/sudip2003,5,Elixir Hills
Manoj ku,https://www.tripadvisor.in/Profile/Manojku123,5,Chandys Windy Woods
310dori,https://www.tripadvisor.in/Profile/310dori,5,Chandys Windy Woods
Cee pee,https://www.tripadvisor.in/Profile/Gamer05,5,Chandys Windy Woods
Surendran M,https://www.tripadvisor.in/Profile/43surendranm,5,Chandys Windy Woods
Anil Bhambri,https://www.tripadvisor.in/Profile/anuanj20,5,Chandys Windy Woods
FlindersFamily1,https://www.tripadvisor.in/Profile/FlindersFamily1,5,The Leaf Munnar
Kirat06,https://www.tripadvisor.in/Profile/Kirat06,5,The Leaf Munnar
mugilan1602,https://www.tripadvisor.in/Profile/mugilan1602,5,The Leaf Munnar
edna k,https://www.tripadvisor.in/Profile/569ednak,5,The Leaf Munnar
Shiyama SRITHAS,https://www.tripadvisor.in/Profile/27102130,5,The Leaf Munnar
Piyush_Wanderlust,https://www.tripadvisor.in/Profile/Piyush_Wanderlust,5,Munnar Tea Country Resort
Anurag,https://www.tripadvisor.in/Profile/Anurag3152,5,Munnar Tea Country Resort
Khushi,https://www.tripadvisor.in/Profile/658khushis,4,Munnar Tea Country Resort
Rajesh Sood,https://www.tripadvisor.in/Profile/RajeshCheeku,5,Munnar Tea Country Resort
Ajanya,https://www.tripadvisor.in/Profile/Anjunithz,4,Munnar Tea Country Resort
sujay,https://www.tripadvisor.in/Profile/sujaybarhate,5,Dew Drops Munnar
Kriti Agrawal,https://www.tripadvisor.in/Profile/Kritiagrawal012710,5,Dew Drops Munnar
kane,https://www.tripadvisor.in/Profile/kane1313,5,Dew Drops Munnar
pugazh,https://www.tripadvisor.in/Profile/pugazh777,5,Dew Drops Munnar
Joseph Danny,https://www.tripadvisor.in/Profile/jdannyx,4,Dew Drops Munnar
Ravu,https://www.tripadvisor.in/Profile/withravii,5,Tea Valley Resort
Nag C,https://www.tripadvisor.in/Profile/Nagu19CT,5,Tea Valley Resort
Himanshu Shukla,https://www.tripadvisor.in/Profile/himanshu_sh_ta,5,Tea Valley Resort
Amit K Agrahari,https://www.tripadvisor.in/Profile/25amitkagrahari,5,Tea Valley Resort
DG123,https://www.tripadvisor.in/Profile/DivyaS925,5,Tea Valley Resort
Mahesh J,https://www.tripadvisor.in/Profile/522maheshj,5,Fragrant Nature Munnar
Mamtha,https://www.tripadvisor.in/Profile/352891nhhaka,5,Fragrant Nature Munnar
avner g,https://www.tripadvisor.in/Profile/926avnerg,5,Fragrant Nature Munnar
Jill Pring,https://www.tripadvisor.in/Profile/Jilltravelller123,5,Fragrant Nature Munnar
Avneet,https://www.tripadvisor.in/Profile/AvneetTraveller123,5,Fragrant Nature Munnar
Poongkodi J,https://www.tripadvisor.in/Profile/poongkodip,5,"Amber Dale Luxury Hotel and Spa, Munnar"
Nitesh,https://www.tripadvisor.in/Profile/Nitz68588,5,"Amber Dale Luxury Hotel and Spa, Munnar"
DalalSaqer,https://www.tripadvisor.in/Profile/DalalSaqer,5,"Amber Dale Luxury Hotel and Spa, Munnar"
Mohammed Sarfaraz,https://www.tripadvisor.in/Profile/Sarfaraz0229,5,"Amber Dale Luxury Hotel and Spa, Munnar"
Mihir Patwa,https://www.tripadvisor.in/Profile/Mihirpatwa_7,5,"Amber Dale Luxury Hotel and Spa, Munnar"
Radha Thevannoor,https://www.tripadvisor.in/Profile/scms123,5,The Tall Trees Munnar
Kevin Sadler,https://www.tripadvisor.in/Profile/Kevinasadler,5,The Tall Trees Munnar
Rudy Castelino,https://www.tripadvisor.in/Profile/Rcastelino,5,The Tall Trees Munnar
deepakonroll,https://www.tripadvisor.in/Profile/deepakonroll,5,The Tall Trees Munnar
RoyPaulz,https://www.tripadvisor.in/Profile/RoyPaulz,5,The Tall Trees Munnar
Nithinperettil,https://www.tripadvisor.in/Profile/Nithinperettil,5,Dream Catcher Plantation Resort
simi a,https://www.tripadvisor.in/Profile/simiandrews,5,Dream Catcher Plantation Resort
Sooraj,https://www.tripadvisor.in/Profile/sooraj17,5,Dream Catcher Plantation Resort
Teena,https://www.tripadvisor.in/Profile/Teenasand,4,Dream Catcher Plantation Resort
karlheinz233,https://www.tripadvisor.in/Profile/karlheinz233,5,Dream Catcher Plantation Resort
PAIDI,https://www.tripadvisor.in/Profile/Paidi_Aditya,5,Deep Woods Resort
Vihar K,https://www.tripadvisor.in/Profile/ViharKapadia,5,Deep Woods Resort
Manoj Kumar,https://www.tripadvisor.in/Profile/massmano08,5,Deep Woods Resort
Chandana Satish,https://www.tripadvisor.in/Profile/nchandana123,5,Deep Woods Resort
Sanketshah1992,https://www.tripadvisor.in/Profile/Sanketshah1992,3,Deep Woods Resort
chirag,https://www.tripadvisor.in/Profile/shanchres,5,Summit Birds Valley Resort & Spa
Tanu,https://www.tripadvisor.in/Profile/tanukurari,5,Summit Birds Valley Resort & Spa
Arpana menon,https://www.tripadvisor.in/Profile/Arpanamen,5,Summit Birds Valley Resort & Spa
Parvathi Nair,https://www.tripadvisor.in/Profile/parvathiqnair,5,Summit Birds Valley Resort & Spa
Aksa,https://www.tripadvisor.in/Profile/Aksaansa,5,Summit Birds Valley Resort & Spa
Amittss,https://www.tripadvisor.in/Profile/Amittss,3,Misty Mountain Resort Munnar
AmrutaEnjoyinLife,https://www.tripadvisor.in/Profile/AmrutaEnjoyinLife,5,Misty Mountain Resort Munnar
