Hotel Names,Price,Rating,Amenities,Info,Attractions,Address,City
Lake Canopy,"6,528",5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastCanoeingGame roomBabysittingSecured parkingFree internetWifiInternetPool / beach towelsInfinity poolIndoor poolOutdoor poolRestaurantBreakfast buffetBilliardsFishingTable tennisChildren Activities (Kid / Family Friendly)Airport transportationBusiness Centre with Internet AccessBanquet roomMeeting roomsFax / photocopyingSpaMassage24-hour securityBaggage storageConciergeGift shopNewspaperShared lounge / TV areaSun terrace24-hour front deskExpress check-in / check-outDry cleaningLaundry serviceIroning service,"Lake Canopy strategically located in Punnamada, Alappuzha, is the ideal destination for all types of commuters. It maintains exclusive 28 cottages/rooms with back water view and ensures hospitality with utmost care, comfort and luxury. The same has been categorized into 3 cottages with private swimming pool, 5 cottages with Jacuzzi and 20 premium rooms.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","Aspinwall Road Komalapuram, North Aaryad P.O, Alappuzha 688538 India",Alappuzha
Uday Backwater Resort,"8,990",5.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastBicycle rentalChildren Activities (Kid / Family Friendly)Airport transportationElectric vehicle charging stationParkingFree internetWifiInternetSaunaHot bathIndoor poolOutdoor poolBar / loungeRestaurantShuttle bus serviceCar hireBusiness Centre with Internet AccessMeeting roomsSpa24-hour securityBaggage storageCurrency exchangeDry cleaningLaundry service,"Uday backwater Resort in Alleppy is a destination by itself with 56 stylish rooms and 9 pool villas, Spas, Restaurants, Houseboats and Country boat trips turning your vacation exciting mesmerizing . The resort got all comforts, with dedicated service personnel and elegant furnishings aesthetically combining traditional charm with modern facilities.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Marari Beach')","1x /2A - Avalookunnu .P.O,Punnamada Near punnamada Jetty, Alappuzha 688006 India",Alappuzha
Warmth Lake Haven,"4,367",4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBadmintonBicycle rentalKids stay freeBabysittingValet parkingCar parkSecured parkingParkingFree internetWifiPublic wifiFree wifi in the business centreFree wired internet in the business centreInternetHot bathPool / beach towelsSwimming pool toysAdult poolOutdoor poolCoffee shopRestaurantBreakfast availableBreakfast buffetBreakfast in the roomComplimentary instant cofffeeComplimentary teaComplimentary welcome drinkKid-friendly buffetKids' mealsOutdoor dining areaBicycles availableBoatingDartsFishingKaraokeBoard games / puzzlesChildren's playgroundChildren's television networksChildren Activities (Kid / Family Friendly)Highchairs availableAirport transportationFax / photocopyingPhoto copier / fax In business centreSpaFacial treatmentsFoot bathFoot massageFull body massageHand massageHead massageManicureNeck massagePedicureSteam room24-hour securityBBQ facilitiesBaggage storageConciergeCurrency exchangeGift shopNewspaperNon-smoking hotelOutdoor fireplaceOutdoor furnitureFirst aid kitUmbrella24-hour check-in24-hour front deskExpress check-in / check-outPrivate check-in / check-outDry cleaningLaundry serviceIroning serviceShoeshine,"Warmth Lake Haven, a solitary island situated midst of vast botanical treasures with vibrant variety of birds, lush verdant paddy fields, swaying coconut palms, rippling waterscapes and scenic backwaters opening to Arabian Sea and Vembanad Lake. The resort has 3 acres of greenish landscapes, emerald paddy fields fenced with lake and backwaters. Lake Haven creates incredible memories to share for a life time and its alluring elegance will capture vacationers.","('Ambalapuzha Sree Krishna Temple', 'Revi Karunakaran Museum', 'Alappuzha Lighthouse', 'Alappuzha Beach')","Near Pulikkakaavu Temple Chempumpuram, Alappuzha 688505 India",Alappuzha
Ramada by Wyndham Alleppey,"3,238",4.0,Free parkingFree High Speed Internet (WiFi)Fitness Centre with Gym / Workout RoomPoolFree breakfastChildren Activities (Kid / Family Friendly)Taxi serviceBusiness Centre with Internet AccessParkingFree internetWifiPublic wifiInternetLazy riverOutdoor poolBar / loungeRestaurantBreakfast availableBreakfast buffetRooftop barConference facilitiesBanquet roomMeeting roomsSpa24-hour securityBaggage storageConciergeNon-smoking hotelDoorpersonDry cleaningLaundry service,A picturesque 5 Star Classified Resort Hotel at Alleppey ( The Venice of the East ) overlooking the backwaters of the Punnamada Lake. 85 kilometres from Cochin International Airport which is about a 2 hour drive.,,"Nehru Trophy Finishing Point Punnamada, Alappuzha 688001 India",Alappuzha
Oxygen Resorts Alleppey,"3,480",5.0,Free parkingFree internetFitness Centre with Gym / Workout RoomPoolRestaurantChildren Activities (Kid / Family Friendly)Kids clubAirport transportationInternetIndoor poolOutdoor poolBreakfast buffetCar hireBusiness Centre with Internet AccessBanquet roomMeeting roomsSpa24-hour securityConciergeDry cleaningLaundry service,"Oxygen Resorts Allepey is set amidst the tropical greenery along the banks of Rajiv Jetty, overlooking the Kerala Backwaters. The resort is built in resemblance to a Rajasthani palace, and is unmatched in its grandeur and style. Situated less than 1 km from the famed Nehru Trophy Finishing Point, the resort is major attraction for travel enthusiasts. Oxygen Resorts Allepey holds the aura of being untainted; within the broad hallways of the resort, one can experience serenity. Living up-to the expectations of its architectural resemblance to a palace, the resort is uncompromising in its magnificence with 81 rooms spread across five floors. Customers can take full advantage of features like full-service spa, balconies with view of the city/garden, parking area within premises, conference rooms, and outdoor pool. The resort has deluxe rooms, superior rooms, and suite rooms.",,"Boat Jetty Road Finishing Point, Alappuzha 688013 India",Alappuzha
Kalappura Homestay,999,5.0,Free parkingFree High Speed Internet (WiFi)Free internetWifiInternetBaggage storageLaundry service,Kalappura homestay is situated in a peaceful & silent locality in Alleppey Town which is 200m away from the canal side. Also the Homestay is around 5 mins walk from KSRTC bus station and the ferry/boating area and 5 mins walk to the busy city center & market as well. Ours is a wonderful homestay with all the facilities what you get in your house.Its a Home away from Home.,,"Kalappurackal House Mullackal Road 1 km east of Mullackal junction, Alappuzha 688011 India",Alappuzha
Punnamada Resort,"8,346",4.5,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastBicycle rentalCanoeingChildren Activities (Kid / Family Friendly)Airport transportationParkingFree internetWifiInternetPool / beach towelsPool with viewOutdoor poolBar / loungeCoffee shopRestaurantBreakfast buffetGame roomBilliardsFishingTable tennisCar hireMeeting roomsSpaMassageBaggage storageConciergeGift shopNewspaperNon-smoking hotelShops24-hour front deskDry cleaningLaundry serviceIroning service,"Punnamada Resorts is nestled on the serene banks of Vembanad Lake and gives a world of heritage and luxury. The divine ambiance and the hospitality lead to a total relaxation of mind, body and soul and it highlighted the rich heritage and the essence of Kerala in its true form with a focus on the eco system and being an environment friendly resort by taking initiative in various fronts. The green leaf certified Ayurveda centre at Punnamada puts a new life into yourself and to regain vigor and vitality and lead a stress-free life. The essence of Kerala and its magical backwaters can be experienced aboard Punnamada’s exclusive 'Kettuvallam' (houseboats) by the resort, the houseboats of Punnamada equipped with the best of luxuries.","('Kerala Backwaters', 'Mararikulam Beach', 'Alleppey Backwaters', 'Revi Karunakaran Museum')","Alleppey 6 Punnamada Resort Private Limited, Alappuzha 688006 India",Alappuzha
Haven Alleppey Beach Villa,"3,773",5.0,Free parkingFree High Speed Internet (WiFi)PoolFree breakfastChildren Activities (Kid / Family Friendly)Airport transportationBusiness Centre with Internet AccessConference facilitiesFree internetWifiPublic wifiInternetRestaurantBreakfast availableNon-smoking hotelLaundry service,"Leave Your World Behind. Enjoy your holiday with us. For travelers visiting Alappuzha,Haven Beach Villa is an excellent choice for rest and relax. In the rooms offer a flat screen TV, a kitchenette, and air conditioning, and getting online is easy, with free WiFi available. Guests have access to 24 hour front desk, 24 hour check-in, and room service while staying at the Villa. In addition, Warmth we offers a swimming pool with kids pool and breakfast, which will help make your Alappuzha trip additionally gratifying. And, as an added convenience, there is free parking available to guests. Given the close proximity to Ambalapuzha Sree Krishna Temple (17 km), guests of Haven Beach Villa can easily experience one of Alappuzha's most popular landmarks. If you are interested in exploring Alappuzha, check out such as Backwater trip, Marari Beach, Khadi Showroom, Cottage Art Expo, Alleppey Coir Museum and Revi Karunakaran Museum.",,"Kanjiramchira, Alappuzha 688007 India",Alappuzha
Cosy Houseboats,"8,092",4.5,Secured parkingPublic wifiFree breakfastBicycle rentalCanoeingMassageCurrency exchangeOutdoor furnitureRestaurantBreakfast availableBreakfast in the roomFishing24-hour front deskExpress check-in / check-outPrivate check-in / check-out,"Traditionally, the houseboat was called Kettuvallam, which means a boat made by tying together pieces of wood. Unbelievable as it may sound, not a single nail is used in the making of a Kettuvallam. Anjili tree (Botanical name: Artocarpus Hirsutus) are joined together with coir rope and then coated with black resin made from boiled cashew nut shells. The materials that go into the making are all local and Eco friendly bamboo poles, coconut fiber ropes, bamboo mats, coir carpets etc These traditional country boats were used as the mode of transport in the early times from the isolated interior villages to the towns. But these boat services have been laid off with the developments taken place in the transport services in the recent past. Today these giant 80-foot long crafts have been adapted into luxuriously furnished houseboats. A Kettuvallam usually has one or two bath attached rooms, an open lounge, deck, kitchenette and a crew comprising two oarsmen and a cook. Traditional lanterns are used as lights. Your holiday in this tranquil world is the comfortably furnished houseboats. Come, check into a houseboat for a memorable cruise along the backwaters of Kerala",,"Finishing point Cosy Regency, Finishing Point, Alappuzha 688013 India",Alappuzha
Kondai Lip Backwater Heritage Resort,"5,005",4.5,Free parkingFree internetPool with viewFree breakfastBadmintonBicycle rentalAirport transportationSpaPublic wifiInternetRestaurantBreakfast availableBreakfast buffetFishingWalking toursTaxi serviceBaggage storageConciergeCurrency exchange24-hour check-in24-hour front deskLaundry service,"Turn off the highway to Alleppey, onto a narrower road that winds its way through sleepy hamlets, going past prawn and shrimp farms and submerged fields of paddy. You gradually begin to feel the overwhelming presence of water. At times in the course of the journey it seems that for an instant one has dropped below the waterline. ""Kondai Lip"" Set amidst palms and lush tropical vegetation, traditional air conditioned cottages with canal facing sit outs, built with laterite and wood, elegantly furnished and equipped with all modern amenities. Just 55 km from Cochin International Airport and 18 kms towards Fort Cochin.Having its own Ayur health care Centre with Green Leaf accreditation.",,"Karumanchery Holiday Resorts Pvt Ltd Ezhupunna South PO, Alappuzha 688537 India",Alappuzha
